cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
9-Nov,the marginal Hispanic defendant less likely to be downward departed is in a sentencing adjustment band just below the minimum of their original guideline cell,topic_144,topic_4348,Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System,49117,topic_2838,"
increased animosity toward Muslims --> had spillover effects on other out-groups in the federal CJS through prosecutors’ decisions
judges and prosecutors having social preferences characterized by contagious animosity from Muslims to Hispanics --> Hispanic defendants experience worsening sentence and presentence outcomes
among marginal defendants --> 9/11","
increased animosity toward Muslims --> had spillover effects on other out-groups in the federal CJS through prosecutors’ decisions
the results on prosecutors’ decisions are consistent with them displaying contagious animosity from Muslims to Hispanics and their social preferences being independent between Muslim and Black defendants --> Hispanic defendants initially charged after 9/11 are 7.5 percentage points more likely to receive an initial offense that carries a statutory minimum, and their statutory minimum sentence is 10.7 months longer","[49253, 49360, 48799]","[49253, 48813]",3,2,['Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System'],TRUE
9-Nov,the time defendants spend in the CJS between when they commit their last offense and when they come up for sentencing,topic_144,topic_376,Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System,49014,topic_6353,"
among marginal defendants --> 9/11","
for defendants between the 70th and 85th percentiles of the predicted probability of downward departure --> there is a significant increase in sentence lengths
those who give longer sentence lengths --> also have cases that are more likely to have higher criminal severity",[48799],"[49130, 60901]",1,2,"['Judge Effects, Case Characteristics, and Plea Bargaining', 'Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System']",FALSE
productivity y is low enough in the market with fewer applications,"it can overpower the tightness effect, producing an overall positive relationship between wages and applications",topic_6328,topic_2446,Opening the Black Box of the Matching Function: The Power of Words,30450,topic_2303,"
for a given realization of the wife’s wage rate --> a large realization of h leads to low but elastic labor supply","
The location-specific rent and employment rate --> have positive and significant (at the 5% level) effects on the average wage in the city",[13310],[21112],1,1,"['Estimating Labor Supply Elasticities with Joint Borrowing Constraints of Couples', 'Economy-Wide Spillovers from Booms: Long-Distance Commuting and the Spread of Wage Effects']",FALSE
law exposure,less variability,topic_2641,topic_5134,"More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle",3178,topic_6325,"
most of the effect of the law on earnings variability happens at young ages --> law exposure","
most of the effect of the law on earnings variability happens at young ages --> law exposure leading to less variability",[3180],[3177],1,1,"['More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle']",TRUE
flooding and water contamination,The set of coastal locations is more likely to experience not only a hurricane but also flood damage from the storm surge,topic_6330,topic_2162,Long-Run Consequences of Exposure to Natural Disasters,10061,topic_2166,"
the fact that pregnant women and infant children in these rural locations did not have access to health or sanitation facilities --> The role of flooding and water contamination","
pregnant women and infant children in these rural locations did not have access to health or sanitation facilities --> The set of coastal locations is more likely to experience not only a hurricane but also flood damage from the storm surge",[10062],[10063],1,1,['Long-Run Consequences of Exposure to Natural Disasters'],TRUE
The networks also appear to exhibit strong homophily,"students tend to miss class with other students who have grade point averages (GPAs), behaviors, and racial characteristics that are predictive of their own characteristics",topic_1954,topic_2753,Better Together? Social Networks in Truancy and the Targeting of Treatment,41606,topic_1085,"
omitted contextual factors --> the observed homophily in the network","
omitted contextual factors --> students tend to miss class with other students who have grade point averages (GPAs), behaviors, and racial characteristics that are predictive of their own characteristics",[41609],[41611],1,1,['Better Together? Social Networks in Truancy and the Targeting of Treatment'],TRUE
"there is strong homophily in terms of age, gender, and geographical location",students living closer are more likely to form links,topic_1954,topic_725,Education Transmission and Network Formation,83413,topic_1706,"
low-educated students have more homophilous networks (as measured by h i, r t ) --> this is mostly due to the group composition
the group composition --> The homophily level","
all low-educated students increase their socialization effort much more than do highly educated students --> are more likely to form friendship links with other low-educated students","[83425, 83421]",[83551],2,1,['Education Transmission and Network Formation'],TRUE
Adopting mothers reduce their hours more than same-sex mothers but a bit less than heterosexual mothers,"Adopting fathers’ hours drop slightly in the first 2 years, likely because of paternity leave",topic_3458,topic_5374,What Causes the Child Penalty? Evidence from Adopting and Same-Sex Couples,75862,topic_344,"
paternity leave --> Adopting mothers reduce their hours more than same-sex mothers but a bit less than heterosexual mothers","
paternity leave --> adopting fathers marginally reduce extensive labor supply in the year after birth",[75863],[75846],1,1,['What Causes the Child Penalty? Evidence from Adopting and Same-Sex Couples'],TRUE
"The minimum wage bites more in low-wage states, where MW st  w st.5 is larger, than in high-wage states, where it is lower",The minimum wage bites more,topic_3589,topic_2408,Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects,61035,topic_3566,"
the minimum wage --> The minimum wage bites more in low-wage states, where MW st  w st.5 is larger, than in high-wage states, where it is lower","
the minimum wage --> has a significant positive impact on wages for groups of workers predicted to be exposed to the minimum wage",[61037],[80563],1,1,"['Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects', 'Seeing beyond the Trees: Using Machine Learning to Estimate the Impact of Minimum Wages on Labor Market Outcomes']",FALSE
differences in adult earnings of children with similar skills,Much of this variation,topic_2331,topic_3966,Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income,16880,topic_6391,"
labor market institutions (e.g., unions or other determinants of residual income inequality) --> Much of this variation appears to reflect differences in adult earnings of children with similar skills","
labor market institutions (e.g., unions or other determinants of residual income inequality) --> Much of this variation",[16881],[16879],1,1,['Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income'],TRUE
differences in children’s earnings deriving from differences in the accumulation of observed skills,only about one-ninth of the across-CZ variation in intergenerational income mobility,topic_2331,topic_1130,Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income,17414,topic_2375,"
the variation in human capital transmission is not large enough in magnitude to be a primary mechanism by which income is transmitted across generations --> only about one-ninth of the across-CZ variation in intergenerational income mobility is attributable to differences in children’s earnings deriving from differences in the accumulation of observed skills","
the variation in human capital transmission is not large enough in magnitude to be a primary mechanism by which income is transmitted across generations --> only about one-ninth of the across-CZ variation in intergenerational income mobility",[17413],[17411],1,1,['Inequality of Educational Opportunity? Schools as Mediators of the Intergenerational Transmission of Income'],TRUE
"now that lenders are more sensitive to DTI ratios, credit scores, and low down payments",student loan debt acts as an even greater drag on homeownership,topic_6367,topic_568,Student Loans and Homeownership,28315,topic_431,"
student loan debt --> acts as an even greater drag on homeownership now that lenders are more sensitive to DTI ratios, credit scores, and low down payments","
student loan debt repayment --> the effect of student loan debt on homeownership attenuates over time",[28313],[27790],1,1,['Student Loans and Homeownership'],TRUE
"lenders are more sensitive to DTI ratios, credit scores, and low down payments",student loan debt acts as an even greater drag on homeownership,topic_6367,topic_568,Student Loans and Homeownership,28317,topic_431,"
student loan debt --> acts as an even greater drag on homeownership now that lenders are more sensitive to DTI ratios, credit scores, and low down payments","
student loan debt repayment --> the effect of student loan debt on homeownership attenuates over time",[28313],[27790],1,1,['Student Loans and Homeownership'],TRUE
"an imminent threat to their lives, such as armed conflicts, persecution, and/or natural disasters",the effects of refugees might differ from the effects of immigrants on native communities,topic_1373,topic_1227,Unwelcome Guests? The Effects of Refugees on the Educational Outcomes of Incumbent Students,16172,topic_1931,"
Haitian earthquake migrants --> they fled their country due to an imminent threat to their lives","
studying the effects of Haitian earthquake-induced migrants --> can still shed light both on the potential effects of an influx of refugees defined in a stricter sense",[16189],[16157],1,1,['Unwelcome Guests? The Effects of Refugees on the Educational Outcomes of Incumbent Students'],TRUE
The near full replacement (90% pre-first-birth salary) without the need to requalify for the insurance through market work,"reduces the opportunity cost of time at home before the birth of the second child, that is, during what would otherwise have been the qualifying period",topic_1925,topic_1661,"Parental Leave Benefits, Household Labor Supply, and Children’s Long-Run Outcomes",26791,topic_158,"
the SP --> the existing, or lower birth order, child who benefits from the additional parental resources induced by the SP","
the SP --> potentially increases time spent with the mother but does not alter the financial capacity of the household",[27117],[27158],1,1,"['Parental Leave Benefits, Household Labor Supply, and Children’s Long-Run Outcomes']",TRUE
higher parental leave benefits with the second child,also lowers the opportunity cost of time at home after birth,topic_1925,topic_1661,"Parental Leave Benefits, Household Labor Supply, and Children’s Long-Run Outcomes",26793,topic_158,"
the SP --> the existing, or lower birth order, child who benefits from the additional parental resources induced by the SP","
the SP --> potentially increases time spent with the mother but does not alter the financial capacity of the household",[27117],[27158],1,1,"['Parental Leave Benefits, Household Labor Supply, and Children’s Long-Run Outcomes']",TRUE
women are more likely to enroll in a science track than men,the overall effect is statistically insignificant,topic_196,topic_6496,High-Performing Peers and Female STEM Choices in School,34269,topic_2263,"
a 1 standard deviation increase (0.04) in the proportion of female peers --> increases men’s likelihood of enrolling in a science track by 1.7 percentage points and decreases women’s chances by 1 percentage point relative to men","
a 1 standard deviation increase (0.04) in the proportion of female peers --> the overall impact on girls is statistically insignificant",[34103],[34106],1,1,['High-Performing Peers and Female STEM Choices in School'],TRUE
poaching activity does not distort training decisions,training subsidies increase welfare,topic_1125,topic_475,Do High-Wage Jobs Attract More Applicants? Directed Search Evidence from the Online Labor Market,7727,topic_1177,"
under directed search --> poaching activity does not distort training decisions","
under directed search --> training subsidies increase welfare",[7730],[7730],1,1,['Do High-Wage Jobs Attract More Applicants? Directed Search Evidence from the Online Labor Market'],TRUE
counsel attorneys are no longer auditioning for partnerships,this hours gap,topic_1879,topic_1039,Allocating Effort and Talent in Professional Labor Markets,301,topic_3011,"
their past work experience has revealed their type, and they are no longer producing signals about their suitability for the partner position --> counsel attorneys are no longer auditioning for partnerships","
Their past work experience has revealed their type, and they are no longer producing signals about their suitability for the partner position --> This hours gap",[302],[305],1,1,['Allocating Effort and Talent in Professional Labor Markets'],TRUE
"Florida REA could have produced threat effects initially, when meetings began to be scheduled",monitoring effects becoming progressively more important as participants attended—or missed—meetings and faced potential disqualification,topic_1877,topic_4455,The Labor Market Effects of US Reemployment Policy: Lessons from an Analysis of Four Programs during the Great Recession,39589,topic_1245,"
the program did not evaluate eligibility and there were no disqualifications of no-shows --> Florida PREP could have produced threat and services effects but could not have produced monitoring effects","
the eligibility rules were not announced and explained to the public --> it seems quite unlikely that individuals selected (i.e., physically moved) into wards just below the threshold so as to be eligible for the WP policy interventions",[39587],[27653],1,1,"['Raising Aspirations and Higher Education: Evidence from the United Kingdom’s Widening Participation Policy', 'The Labor Market Effects of US Reemployment Policy: Lessons from an Analysis of Four Programs during the Great Recession']",FALSE
conditions make it harder for them to ask for a raise or change jobs to get one,People not losing jobs themselves can also suffer from environments in which job loss is prevalent,topic_4674,topic_482,Did Timing Matter? Life Cycle Differences in Effects of Exposure to the Great Recession,70089,topic_1670,"
prevailing conditions --> make it more difficult to change jobs or ask for a raise","
prevailing conditions --> workers who remain employed may also suffer",[70301],[70302],1,1,['Did Timing Matter? Life Cycle Differences in Effects of Exposure to the Great Recession'],TRUE
conditions make it harder for them to ask for a raise or change jobs to get one,people not losing jobs themselves can also suffer from environments in which job loss is prevalent,topic_4674,topic_482,Did Timing Matter? Life Cycle Differences in Effects of Exposure to the Great Recession,70093,topic_1670,"
prevailing conditions --> make it more difficult to change jobs or ask for a raise","
prevailing conditions --> workers who remain employed may also suffer",[70301],[70302],1,1,['Did Timing Matter? Life Cycle Differences in Effects of Exposure to the Great Recession'],TRUE
Islamophobia and immigration,Hispanics,topic_1901,topic_1079,Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System,48951,topic_2689,"
the aftermath of 9/11 --> Islamophobia and immigration have become gradually intertwined in American consciousness","
the impact of 9/11 --> Hispanic citizens and that on noncitizens",[48765],[49194],1,1,['Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System'],TRUE
Islamophobia,Hispanics,topic_1901,topic_1079,Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System,48952,topic_2689,"
the aftermath of 9/11 --> Islamophobia and immigration have become gradually intertwined in American consciousness","
the impact of 9/11 --> Hispanic citizens and that on noncitizens",[48765],[49194],1,1,['Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System'],TRUE
increased animosity toward Muslims in the aftermath of 9/11,Black and Hispanic individuals,topic_1520,topic_1079,Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System,49358,topic_1901,"
Islamophobia and immigration --> have become gradually intertwined in American consciousness since the mid-1990s but were most forcefully framed together in the aftermath of 9/11","
Islamophobia and immigration --> Hispanics",[48953],[48951],1,1,['Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System'],TRUE
"counties with higher circulation rates, and thus higher newspaper exposure, are changing over time","migration behavior (e.g., becoming younger, more educated, or more wealthy)",topic_2064,topic_346,Moving to Jobs: The Role of Information in Migration Decisions,52809,topic_124,"
the news coverage about fracking --> counties on either side of the newspaper’s market border would evolve similarly","
Exposure to newspaper articles about fracking --> increased migration to areas mentioned in the news by 2.4% on average, concentrated among young, unmarried, less educated men",[52980],[52602],1,1,['Moving to Jobs: The Role of Information in Migration Decisions'],TRUE
"counties with higher circulation rates, and thus higher newspaper exposure, are changing over time in ways that affect migration behavior (e.g., becoming younger, more educated, or more wealthy)",origin county–by–year fixed effects absorb these changes and exploit variation in news exposure across potential destinations from the same origin,topic_2064,topic_5417,Moving to Jobs: The Role of Information in Migration Decisions,52805,topic_124,"
the news coverage about fracking --> counties on either side of the newspaper’s market border would evolve similarly","
the fracking news exposure of one of the other 15 fracking states S ′ --> all observations for the destination Arkansas might be randomly assigned the news exposure of North Dakota",[52980],[53003],1,1,['Moving to Jobs: The Role of Information in Migration Decisions'],TRUE
origins that had historically higher circulation of USA Today (and thus higher exposure),"saw larger increases in migration to Pennsylvania fracking counties when this news was distributed, relative to counties with historically lower circulation",topic_2064,topic_1914,Moving to Jobs: The Role of Information in Migration Decisions,52619,topic_6035,"
Areas with high and low historic circulation --> similar trends in migration to fracking areas in the preperiod and only diverge once they are “treated” with the news
Fracking began quite suddenly in the mid-2000s --> by 2012 had affected oil and gas production in 252 counties in 16 states
origin counties more tied to the oil and gas industry --> also had higher readership of national newspapers and thus higher exposure when these booms happened","
Areas with high and low historic circulation --> similar trends in migration to fracking areas in the preperiod and only diverge once they are “treated” with the news
the national news about local fracking booms --> increased migration flows to fracking counties by 4.2% on average and increased commute flows by 11.7%","[52633, 52674, 52965]","[52633, 52626]",3,2,['Moving to Jobs: The Role of Information in Migration Decisions'],TRUE
"This coding error, through either differing language used to describe a job or coding inconsistencies in mapping that language to numeric occupation codes",is the greatest source of measurement error in longitudinal occupational mobility,topic_2604,topic_5234,Reconciling Occupational Mobility in the Current Population Survey,74189,topic_2028,"
changes in the occupational coding system over time --> occupational definitions that are “closer” to each other and thus more prone to coding errors","
changes in occupation coding schemes --> rising measurement error in longitudinal occupational mobility",[74432],[74440],1,1,['Reconciling Occupational Mobility in the Current Population Survey'],TRUE
through either differing language used to describe a job or coding inconsistencies in mapping that language to numeric occupation codes,"This coding error, is the greatest source of measurement error in longitudinal occupational mobility",topic_2604,topic_5234,Reconciling Occupational Mobility in the Current Population Survey,74190,topic_2028,"
changes in the occupational coding system over time --> occupational definitions that are “closer” to each other and thus more prone to coding errors","
changes in occupation coding schemes --> rising measurement error in longitudinal occupational mobility",[74432],[74440],1,1,['Reconciling Occupational Mobility in the Current Population Survey'],TRUE
a negative enrollment shock,allows them to eliminate a class at time t without violating the maximum class size rule,topic_1987,topic_1881,A Method for Disentangling Multiple Treatments from a Regression Discontinuity Design,35944,topic_3882,"
The maximum class size rule --> affects only school-grades that receive a positive enrollment shock","
the class size rule is followed --> there will be a drop in average class size just to the right of the discontinuity for both the add-a-class threshold and the remove-a-class threshold",[35947],[36204],1,1,['A Method for Disentangling Multiple Treatments from a Regression Discontinuity Design'],TRUE
neither study accounts for the long-run consequences of exposure to hurricanes for the vulnerable population of fetuses and infants,a micro-based mechanism through which a country’s growth can suffer in the long run in the aftermath of disasters,topic_3126,topic_1064,Long-Run Consequences of Exposure to Natural Disasters,9547,topic_866,"
exposure to tropical storms --> does not appear to significantly affect income in the long run to the same extent as exposure to hurricanes","
tropical cyclones --> have a negative impact that not only persists for up to 2 decades following a disaster but also grows over time",[9894],[9539],1,1,['Long-Run Consequences of Exposure to Natural Disasters'],TRUE
Paternity leave,a pattern of household behavior during the period of leave that is costly to reverse later,topic_344,topic_1970,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14381,topic_2181,"
altering the initial distribution of parenting responsibilities --> paternity leave","
by altering the initial distribution of parenting responsibilities --> paternity leave can influence decisions about how to allocate parents’ resources to childcare, domestic work, and paid work in later years",[14809],[14807],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
Paternity leave,may create a pattern of household behavior during the period of leave that is costly to reverse later,topic_344,topic_1970,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14382,topic_2181,"
altering the initial distribution of parenting responsibilities --> paternity leave","
by altering the initial distribution of parenting responsibilities --> paternity leave can influence decisions about how to allocate parents’ resources to childcare, domestic work, and paid work in later years",[14809],[14807],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
paternity leave,"decisions about how to allocate parents’ resources to childcare, domestic work, and paid work in later years",topic_344,topic_1970,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14810,topic_2181,"
altering the initial distribution of parenting responsibilities --> paternity leave","
by altering the initial distribution of parenting responsibilities --> paternity leave can influence decisions about how to allocate parents’ resources to childcare, domestic work, and paid work in later years",[14809],[14807],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
early childcare enrollment,children’s performance both on a language test and on a mathematics test,topic_2744,topic_1651,Early Childcare and Cognitive Development: Evidence from an Assignment Lottery,4865,topic_6500,"
a lottery offer --> characteristics of the first childcare institution attended","
a lottery offer --> performance in language and mathematics",[4779],[4690],1,1,['Early Childcare and Cognitive Development: Evidence from an Assignment Lottery'],TRUE
race/ethnicity-time effects in sentencing differentials that naturally occur around 9/11 each year,the impact for Hispanics on downward departures occurs after 9/11 in 2001,topic_2880,topic_5179,Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System,49206,topic_2167,"
based on statistical discrimination --> Hispanic-White sentencing differentials worsen after 9/11","
statistical discrimination --> the results can be explained through higher expected recidivism rates of Hispanics after 9/11",[48821],[48818],1,1,['Contagious Animosity in the Field: Evidence from the Federal Criminal Justice System'],TRUE
the gap in children’s prenatal endowment,family altruistic education,topic_3058,topic_1061,Endogenous Altruism: Theory and Evidence from Chinese Twins,2474,topic_3402,"
the inequality aversion heterogeneity --> the gap in children’s human capital investment","
the inequality aversion heterogeneity --> family altruistic education",[2639],[2639],1,1,['Endogenous Altruism: Theory and Evidence from Chinese Twins'],TRUE
the gap in intrahousehold investment in children’s human capital,family altruistic education,topic_3058,topic_1061,Endogenous Altruism: Theory and Evidence from Chinese Twins,2632,topic_3402,"
the inequality aversion heterogeneity --> the gap in children’s human capital investment","
the inequality aversion heterogeneity --> family altruistic education",[2639],[2639],1,1,['Endogenous Altruism: Theory and Evidence from Chinese Twins'],TRUE
prenatal lead exposure,adverse effects on neurodevelopment,topic_1769,topic_5751,The Developmental Consequences of Superfund Sites,39283,topic_210,"
The later that cleanup was complete after birth --> the greater the likelihood that a child was exposed to Superfund site toxicants both in utero and after birth","
the specific timing during cleanup of a Superfund site a child is conceived --> makes a difference regarding cognitive outcomes",[39179],[39143],1,1,['The Developmental Consequences of Superfund Sites'],TRUE
postnatal exposure to toxic Superfund sites,reduces cognitive outcomes as well,topic_1769,topic_5751,The Developmental Consequences of Superfund Sites,39305,topic_210,"
The later that cleanup was complete after birth --> the greater the likelihood that a child was exposed to Superfund site toxicants both in utero and after birth","
the specific timing during cleanup of a Superfund site a child is conceived --> makes a difference regarding cognitive outcomes",[39179],[39143],1,1,['The Developmental Consequences of Superfund Sites'],TRUE
bad grades,female undergraduates are more likely to update their beliefs about own ability,topic_3595,topic_1013,Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs,67380,topic_1704,"
an effect of cohort gender composition --> grades","
the gender composition of entire university cohorts --> major choice—specifically, that women exposed to more female peers are likely to choose female-dominated majors",[67385],[67198],1,1,['Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs'],TRUE
grades,female college students majoring in the physical sciences are more affected by men,topic_3595,topic_3794,High-Performing Peers and Female STEM Choices in School,33914,topic_1704,"
an effect of cohort gender composition --> grades","
the gender composition of entire university cohorts --> major choice—specifically, that women exposed to more female peers are likely to choose female-dominated majors
female doctoral students in STEM fields who have female advisors --> are more successful in terms of publishing than female students with male advisors",[67385],"[67198, 67190]",1,2,['Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs'],FALSE
gender of the graduate director,the probability of completing a PhD within 6 years of initial enrollment is less than 0.01,topic_3410,topic_3933,Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs,67539,topic_1704,"
the cohort gender composition of students --> the gender of graduate director is 0.25","
cohort gender composition --> the probability of not dropping out before program years 2–6, respectively",[67538],[67327],1,1,['Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs'],TRUE
the gender of the graduate director,the probability of completing a PhD within 6 years of initial enrollment,topic_3410,topic_3933,Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs,67541,topic_1704,"
the cohort gender composition of students --> the gender of graduate director is 0.25","
cohort gender composition --> the probability of not dropping out before program years 2–6, respectively",[67538],[67327],1,1,['Nevertheless She Persisted? Gender Peer Effects in Doctoral STEM Programs'],TRUE
are not covered by employer-provided health insurance and retirement plans,may experience greater volatility in their earnings,topic_3051,topic_2635,Reconciling Survey and Administrative Measures of Self-Employment,53892,topic_1186,"
the self-employed lack many of the legal protections afforded to wage and salary workers --> are not covered by employer-provided health insurance and retirement plans","
the self-employed lack many of the legal protections afforded to wage and salary workers --> they may experience greater volatility in their earnings",[53894],[53893],1,1,['Reconciling Survey and Administrative Measures of Self-Employment'],TRUE
they are not covered by employer-provided health insurance and retirement plans,they may experience greater volatility in their earnings,topic_3051,topic_2635,Reconciling Survey and Administrative Measures of Self-Employment,53893,topic_1186,"
the self-employed lack many of the legal protections afforded to wage and salary workers --> are not covered by employer-provided health insurance and retirement plans","
the self-employed lack many of the legal protections afforded to wage and salary workers --> they may experience greater volatility in their earnings",[53894],[53893],1,1,['Reconciling Survey and Administrative Measures of Self-Employment'],TRUE
"under pay-for-percentile, they can receive only from 0 to 3,500 RMB (if the teacher is in the low-achieving group) or 3,570 to 7,000 RMB (if the teacher is in the high-achieving group) under levels or gains",equilibrium effort would be higher as a result,topic_1174,topic_2456,Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement,11696,topic_2120,"
under pay-for-percentile --> teachers whose student is in the low-achieving or high-achieving group can obtain a percentile rank between 0 and 99","
pay-for-percentile --> equilibrium effort would be higher as a result",[11692],[11698],1,1,['Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement'],TRUE
the penalty may increase for the untreated mothers who do not,workplace expectations for all mothers may rise,topic_3592,topic_3206,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14799,topic_169,"
treated mothers increase their career commitment --> the penalty may increase for the untreated mothers who do not","
treated mothers increase their career commitment --> workplace expectations for all mothers may rise",[14800],[14799],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
"higher costs of living, for example, in housing costs","these lower real wages, in turn, are manifested primarily",topic_1865,topic_6566,Local Labor Markets in Canada and the United States,22838,topic_2225,"
workers accept lower consumption levels to enjoy them --> These lower real wages, in turn, are manifested primarily through higher costs of living, for example, in housing costs","
workers accept lower consumption levels to enjoy them --> In equilibrium, these amenities lower real wages",[22834],[22835],1,1,['Local Labor Markets in Canada and the United States'],TRUE
their debt burdens are greater,the resulting damage to their credit scores makes qualifying for a mortgage more difficult,topic_1855,topic_2041,Student Loans and Homeownership,28248,topic_30,"
a higher student loan debt burden at school exit --> any effect of debt aversion induced by a higher student loan debt burden at school exit
by, for example, lowering federal student loan limits --> a reduction in access to federal student debt
the credit score algorithm places a negative weight on higher student debt levels --> Increased debt balances could worsen credit scores directly","
a higher student loan payment --> increases the individual’s debt-to-income (DTI) ratio, potentially making it more difficult for the borrower to qualify for a mortgage loan","[27784, 28305, 28211]",[27771],3,1,['Student Loans and Homeownership'],TRUE
increased debt burdens,homeownership,topic_1855,topic_1820,Student Loans and Homeownership,27713,topic_1242,"
the credit score algorithm places a negative weight on higher student debt levels --> Increased debt balances could worsen credit scores directly","
a substantial negative effect of student loan debt --> homeownership early in the life cycle",[28211],[27738],1,1,['Student Loans and Homeownership'],TRUE
Higher debt balances,increase borrowers’ probability of becoming delinquent on their student loans,topic_1855,topic_4717,Student Loans and Homeownership,27743,topic_1242,"
the credit score algorithm places a negative weight on higher student debt levels --> Increased debt balances could worsen credit scores directly","
students are not able to repay their loans --> the current level of student debt may become problematic for the economy as a whole",[28211],[37846],1,1,"['Labor Market Returns to Student Loans for University: Evidence from Chile', 'Student Loans and Homeownership']",FALSE
higher debt balances,increase borrowers’ probability of becoming delinquent on their student loans,topic_1855,topic_4717,Student Loans and Homeownership,27745,topic_1242,"
the credit score algorithm places a negative weight on higher student debt levels --> Increased debt balances could worsen credit scores directly","
students are not able to repay their loans --> the current level of student debt may become problematic for the economy as a whole",[28211],[37846],1,1,"['Labor Market Returns to Student Loans for University: Evidence from Chile', 'Student Loans and Homeownership']",FALSE
their debt burdens are greater,borrowers are more likely to miss payments,topic_1855,topic_4928,Student Loans and Homeownership,28244,topic_30,"
a higher student loan debt burden at school exit --> any effect of debt aversion induced by a higher student loan debt burden at school exit
by, for example, lowering federal student loan limits --> a reduction in access to federal student debt
the credit score algorithm places a negative weight on higher student debt levels --> Increased debt balances could worsen credit scores directly","
a higher student loan debt burden at school exit --> any effect of debt aversion induced by a higher student loan debt burden at school exit
student loan payments significantly impaired the individual’s ability to save at a rate comparable to that of an individual with less student debt for a period of time --> any difficulties the borrower had meeting payments will eventually drop off her credit report","[27784, 28305, 28211]","[27784, 27787]",3,2,['Student Loans and Homeownership'],TRUE
the channel of increasing delinquencies on those debts,access to homeownership could be impaired,topic_1855,topic_7371,Student Loans and Homeownership,28258,topic_1242,"
the credit score algorithm places a negative weight on higher student debt levels --> Increased debt balances could worsen credit scores directly","
student loan debt’s negative effect on credit scores --> access to homeownership could be impaired",[28211],[28258],1,1,['Student Loans and Homeownership'],TRUE
their postmigration experiences are different,the US advantage is largest among immigrants born in India,topic_18,topic_1923,"A Comparative Analysis of the Labor Market Performance of University-Educated Immigrants in Australia, Canada, and the United States: Does Policy Matter?",19273,topic_3225,"
US immigrants are different from their Australian and Canadian counterparts on arrival (“immigrant selectivity”) --> their postmigration experiences are different","
US immigrants are different from their Australian and Canadian counterparts on arrival (“immigrant selectivity”) --> this persistent advantage is largest among immigrants born in India",[19272],[19270],1,1,"['A Comparative Analysis of the Labor Market Performance of University-Educated Immigrants in Australia, Canada, and the United States: Does Policy Matter?']",TRUE
the availability of low-cost substitutes to household production,women’s willingness to supply longer work hours,topic_1528,topic_40,"When Time Binds: Substitutes for Household Production, Returns to Working Long Hours, and the Skilled Gender Wage Gap",7023,topic_353,"
the influx of low-skilled immigration --> lower prices of services that are close substitutes for household production","
the availability of low-skilled immigrants --> women’s ability to “move” up the occupational hierarchy to positions within an occupation with higher pay and longer hours of work",[7024],[6912],1,1,"['When Time Binds: Substitutes for Household Production, Returns to Working Long Hours, and the Skilled Gender Wage Gap']",TRUE
